Año,Mes,Predicciones,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion,Efectividad de Leads
2024,2,684.391454624881,543,108,33,0,1,389,1,12,3.1,72.0
2024,3,262.52500614200136,178,37,13,0,0,128,1,7,5.5,72.0
2024,4,521.1404534878279,416,79,46,3,0,288,1,8,2.8,69.0
2024,5,498.5116018450681,422,33,100,17,0,274,5,13,4.7,65.0
2024,6,1057.767506730418,967,140,173,31,3,620,17,6,1.0,64.0
2024,7,976.9501794348473,954,112,251,12,9,570,5,21,3.7,60.0
2024,8,938.1578623329733,1409,504,324,17,18,546,22,17,3.1,39.0
2024,9,912.2963175983906,1315,431,314,14,26,530,42,17,3.2,40.0
2024,10,1384.2695090045243,1973,514,606,18,13,822,72,23,2.8,42.0
2024,11,1736.6330560132128,1562,153,321,44,4,1040,79,22,2.1,67.0
2024,12,1615.4070650698566,1282,374,193,60,53,965,330,32,3.3,75.0
2025,1,1224.251200959294,1042,17,104,62,136,723,222,26,3.6,69.0
2025,2,812.0828317518828,561,9,39,14,31,468,150,20,4.3,83.0
2025,3,1237.1819733265852,925,39,98,3,54,731,125,30,4.1,79.0
2025,4,1465.086836300095,1149,51,134,8,84,872,141,30,3.4,76.0
2025,5,983.4155656184929,815,5,75,2,14,574,179,34,5.9,70.0
2025,6,1177.3771511278628,1083,62,266,5,56,694,315,40,5.8,64.0
2025,7,1499.0301137642348,1358,128,241,3,93,893,290,36,4.0,66.0
2025,8,1156.3646460310144,1419,81,591,7,59,681,338,27,4.0,48.0
2025,9,1122.4213685668747,1100,32,401,9,18,660,229,38,5.8,60.0
2025,10,1178.9934976737743,1192,67,413,0,17,695,288,40,5.8,58.0
2025,11,1258.1944784234338,1061,46,218,1,52,744,488,41,5.5,70.0
2025,12,1233.9492802347625,1534,125,194,34,44,729,823,34,4.7,48.0
2026,1,1209.7040820460911,1516,148,187,52,53,714,602,37,5.2,47.0
2026,2,1235.565626780674,1235,116,106,8,31,730,523,30,4.1,59.0
2026,3,1581.463787605717,1785,228,184,48,32,944,698,38,4.0,53.0
2026,4,1225.8675475052053,1393,212,123,38,28,724,559,41,5.7,52.0
