Plantilla,Operando,Cumplimiento de plantilla,Bajas,Vacantes,Índice de Rotación,Capacitación de Marca,Indice de clima laboral,Productividad de APVS,% Apvs que cumplieron con su objetivo de ventas,Auditoría Salesforce,Apvs oro,Apvs plata,Avps bronce,Indefinidos (Contrato >3 Meses),Plantilla con permanencia,Mes,Año
29.0,28.0,0.97,3.0,1.0,0.1,0.0,4.25,0.61,0.4,0.92,3.0,1.0,3.0,17.0,0.61,1,2025
29.0,24.0,0.83,1.0,5.0,0.03,0.0,4.25,0.42,0.33,0.92,3.0,1.0,3.0,18.0,0.75,2,2025
29.0,26.0,0.9,6.0,3.0,0.21,0.8,4.25,0.86,0.38,0.81,3.0,2.0,3.0,18.0,0.69,3,2025
30.0,27.0,0.9,0.0,3.0,0.0,0.82,4.25,0.9,0.44,0.82,4.0,1.0,3.0,18.0,0.67,4,2025
31.0,28.0,0.9,1.0,3.0,0.03,0.8,4.25,0.91,0.45,0.83,4.0,1.0,5.0,19.0,0.68,5,2025
33.0,29.0,0.88,3.0,4.0,0.09,0.82,4.25,0.95,0.86,0.81,4.0,1.0,10.0,21.0,0.72,6,2025
33.0,30.0,0.91,2.0,3.0,0.06,0.84,4.3,0.78,0.43,0.9,4.0,1.0,9.0,23.0,0.77,7,2025
34.0,32.0,0.94,2.0,2.0,0.06,0.86,4.3,0.54,0.15,0.97,4.0,2.0,7.0,21.0,0.66,8,2025
35.0,34.0,0.97,1.0,2.0,0.03,0.91,4.3,0.87,0.58,0.94,4.0,2.0,8.0,26.0,0.76,9,2025
36.0,34.0,0.94,1.0,2.0,0.03,0.97,4.3,0.76,0.4,0.92,4.0,3.0,8.0,25.0,0.74,10,2025
36.0,34.0,0.94,1.0,3.0,0.03,0.98,4.3,0.81,0.47,0.92,4.0,5.0,6.0,30.0,0.88,11,2025
36.0,32.0,0.89,2.0,3.0,0.06,0.07,4.3,0.6,0.29,0.85,4.0,4.0,6.0,31.0,0.97,12,2025
37.0,33.0,0.89,3.0,4.0,0.08,0.2,4.3,0.91,0.64,0.8911764705882352,4.0,3.0,7.0,29.0,0.88,1,2026
40.0,37.0,0.93,0.0,3.0,0.0,0.33,4.3,0.67,0.47,0.86,4.0,3.0,8.0,30.0,0.81,2,2026
42.0,38.0,0.9,0.0,4.0,0.0,0.47,4.3,0.71,0.47,0.83,4.0,3.0,9.0,37.0,0.97,3,2026
44.0,40.0,0.91,2.0,4.0,0.05,0.72,4.3,0.74,0.5,0.95,0.0,5.0,9.0,36.0,0.9,4,2026
44.0,40.0,0.91,0.0,4.0,0.0,0.89,4.0,0.82,0.33,0.95,0.0,5.0,8.0,35.0,0.88,5,2026
44.0,42.0,0.95,2.0,2.0,0.05,0.9,4.0,0.82,0.36,0.95,3.3529411764705883,2.5294117647058822,6.588235294117647,35.0,0.9,6,2026
