Año,Mes,Leads,Efectivos,Ventas Reportadas,Obj Ventas,Ventas Real,% CAL Ventas,Obj Conversion,Conversion,% CAL Conversion,Obj SDC,SDC,% CAL SDC,Autorizadas,Formalizado,Contado,Credito,% Autorizadas,% Formalizadas,Obj PDM,PDM,% CAL PDM,% / Conversion Venta- PDM,Variacion,Lead / Venta
2024,2,543,389,12,20,12,0.6,0.035,0.0308,0.88,10,6,0.6,2,1,10,1,0.3333,0.16670000000000001,25,24,0.96,0.5,0.0,45.3
2024,3,178,128,7,20,7,0.35,0.035,0.0547,1.56,10,11,1.1,7,5,4,3,0.6364,0.4545,30,25,0.83,0.28,-0.41700000000000004,25.4
2024,4,416,288,8,20,8,0.4,0.035,0.0278,0.79,15,23,1.53,14,11,2,6,0.6087,0.4783,35,35,1.0,0.23,0.14300000000000002,52.0
2024,5,422,274,13,20,13,0.65,0.035,0.047400000000000005,1.36,15,26,1.73,8,3,3,10,0.3077,0.11539999999999999,55,54,0.98,0.24,0.625,32.5
2024,6,967,620,6,20,6,0.3,0.035,0.0097,0.28,25,43,1.72,13,6,0,6,0.3023,0.13949999999999999,50,54,1.08,0.11,-0.5379999999999999,161.2
2024,7,954,570,21,20,21,1.05,0.035,0.0368,1.05,35,55,1.57,30,17,7,14,0.5455,0.3091,55,58,1.05,0.36,2.5,45.4
2024,8,1409,546,17,20,17,0.85,0.035,0.0311,0.89,35,36,1.03,19,9,2,15,0.5278,0.25,75,61,0.81,0.28,-0.19,82.9
2024,9,1315,530,17,20,17,0.85,0.037000000000000005,0.0321,0.87,40,56,1.4,26,7,6,11,0.4643,0.125,70,75,1.07,0.23,0.0,77.4
2024,10,1973,822,23,20,23,1.15,0.03,0.027999999999999997,0.93,70,79,1.13,31,14,2,21,0.3924,0.1772,85,57,0.67,0.4,0.353,85.8
2024,11,1562,1040,22,25,22,0.88,0.03,0.0212,0.71,75,76,1.01,25,14,4,18,0.3289,0.18420000000000003,90,92,1.02,0.24,-0.043,71.0
2024,12,1282,965,32,30,32,1.07,0.03,0.0332,1.11,85,103,1.21,39,17,2,30,0.3786,0.165,90,95,1.06,0.34,0.455,40.1
2025,1,1042,723,26,30,26,0.87,0.035,0.036000000000000004,1.03,80,83,1.04,30,19,3,23,0.3614,0.2289,90,89,0.99,0.29,-0.188,40.1
2025,2,561,468,20,25,20,0.8,0.04,0.042699999999999995,1.07,85,76,0.89,27,12,2,18,0.3553,0.15789999999999998,95,101,1.06,0.2,-0.231,28.1
2025,3,925,731,30,25,30,1.2,0.04,0.040999999999999995,1.03,90,92,1.02,31,20,5,25,0.337,0.21739999999999998,95,77,0.81,0.39,0.5,30.8
2025,4,1149,872,30,30,30,1.0,0.04,0.0344,0.86,80,59,0.74,35,17,7,21,0.5932,0.28809999999999997,100,81,0.81,0.37,0.0,38.3
2025,5,815,693,34,30,34,1.13,0.04,0.049100000000000005,1.23,85,76,0.89,40,19,6,30,0.5263,0.25,100,127,1.27,0.27,0.133,24.0
2025,6,1083,694,40,35,40,1.14,0.045,0.0576,1.28,85,97,1.14,46,25,6,34,0.4742,0.2577,115,111,0.97,0.36,0.17600000000000002,27.1
2025,7,1358,893,36,35,36,1.03,0.042,0.0403,0.96,100,104,1.04,41,21,8,31,0.3942,0.20190000000000002,125,127,1.02,0.28,-0.1,37.7
2025,8,1419,624,27,35,27,0.77,0.042,0.0433,1.03,90,99,1.1,27,13,5,22,0.2727,0.1313,128,123,0.96,0.22,-0.25,52.6
2025,9,1100,660,38,38,41,1.08,0.045,0.0621,1.38,125,127,1.02,43,25,9,32,0.3386,0.19690000000000002,130,116,0.89,0.33,0.40700000000000003,28.9
2025,10,1192,695,40,39,40,1.03,0.045,0.0576,1.28,130,136,1.05,51,25,7,32,0.375,0.1838,127,154,1.21,0.26,0.053,29.8
2025,11,1061,744,41,40,42,1.05,0.045,0.0565,1.25,115,118,1.03,49,24,7,37,0.4153,0.2034,117,116,0.99,0.35,0.025,25.9
2025,12,1534,729,31,40,34,0.85,0.045,0.0466,1.04,110,111,1.01,31,14,11,23,0.2793,0.1261,125,130,1.04,0.24,-0.244,49.5
2026,1,1516,714,37,40,38,0.95,0.045,0.053200000000000004,1.18,110,113,1.03,36,21,5,30,0.3186,0.1858,148,148,1.0,0.25,0.19399999999999998,41.0
2026,2,1235,730,32,38,30,0.79,0.045,0.041100000000000005,0.91,115,83,0.72,37,17,9,25,0.4458,0.2048,161,109,0.68,0.29,-0.135,38.6
2026,3,1785,944,38,40,41,1.03,0.045,0.0434,0.97,120,85,0.71,41,18,7,34,0.4824,0.2118,124,118,0.95,0.32,0.188,47.0
2026,4,1393,724,39,40,41,1.03,0.045,0.056600000000000004,1.26,103,74,0.72,41,16,8,33,0.5540999999999999,0.2162,103,117,1.14,0.33,0.026000000000000002,35.7
2026,5,1251,736,35,40,35,0.88,0.045,0.047599999999999996,1.06,115,95,0.83,45,19,7,29,0.47369999999999995,0.2,126,142,1.13,0.25,-0.10300000000000001,35.7
2026,6,1315,754,37,40,37,0.93,0.045,0.049100000000000005,1.09,105,82,0.78,35,12,14,26,0.4268,0.1463,142,128,0.9,0.29,0.057,35.5
2026,7,520,282,33,40,33,0.83,0.045,0.11699999999999999,2.6,109,30,0.28,10,2,1,6,0.3333,0.0667,138,51,0.37,0.65,-0.10800000000000001,15.8
