Leads,Efectivos,SDC,PDM,Citas Programadas,Citas Efectivas,Ventas,Conversion,Aporte,Periodo,Canal
329,,,22.0,9.0,4.0,9.0,0.0274,0.75,"Febrero, 24",Piso
19,,,13.0,28.0,16.0,4.0,0.21050000000000002,0.5714,"Marzo, 24",Piso
76,,,35.0,15.0,6.0,10.0,0.1316,1.25,"Abril, 24",Piso
87,,,40.0,38.0,16.0,1.0,0.0115,0.07690000000000001,"Mayo, 24",Piso
55,,,28.0,78.0,60.0,3.0,0.0545,0.5,"Junio, 24",Piso
92,,51.0,35.0,75.0,57.0,10.0,0.10869999999999999,0.47619999999999996,"Julio, 24",Piso
77,,32.0,31.0,65.0,46.0,9.0,0.11689999999999999,0.5294,"Agosto, 24",Piso
57,,28.0,28.0,37.0,19.0,6.0,0.10529999999999999,0.3529,"Septiembre, 24",Piso
43,,38.0,14.0,31.0,25.0,3.0,0.0698,0.1304,"Octubre, 24",Piso
50,,32.0,25.0,18.0,14.0,11.0,0.22,0.5,"Noviembre, 24",Piso
64,,42.0,32.0,42.0,36.0,8.0,0.125,0.25,"Diciembre, 24",Piso
71,71.0,34.0,28.0,71.0,71.0,10.0,0.1408,0.3846,"Enero, 25",Piso
64,64.0,23.0,33.0,64.0,64.0,11.0,0.17190000000000003,0.55,"Febrero, 25",Piso
80,80.0,28.0,32.0,80.0,80.0,9.0,0.1125,0.3,"Marzo, 25",Piso
43,43.0,13.0,28.0,34.0,34.0,13.0,0.3023,0.43329999999999996,"Abril, 25",Piso
65,65.0,16.0,34.0,65.0,65.0,12.0,0.18460000000000001,0.3529,"Mayo, 25",Piso
59,59.0,13.0,31.0,59.0,59.0,10.0,0.16949999999999998,0.25,"Junio, 25",Piso
63,63.0,12.0,29.0,63.0,63.0,7.0,0.11109999999999999,0.19440000000000002,"Julio, 25",Piso
71,71.0,22.0,44.0,71.0,71.0,7.0,0.0986,0.2593,"Agosto, 25",Piso
58,58.0,21.0,31.0,58.0,58.0,7.0,0.1207,0.18420000000000003,"Septiembre, 25",Piso
72,72.0,24.0,48.0,72.0,72.0,11.0,0.1528,0.275,"Octubre, 25",Piso
81,81.0,21.0,43.0,81.0,81.0,9.0,0.11109999999999999,0.2143,"Noviembre, 25",Piso
76,76.0,27.0,22.0,76.0,76.0,9.0,0.1184,0.2647,"Diciembre, 25",Piso
97,97.0,27.0,46.0,97.0,97.0,6.0,0.061900000000000004,0.15789999999999998,"Enero, 26",Piso
94,94.0,18.0,28.0,94.0,94.0,7.0,0.0745,0.23329999999999998,"Febrero, 26",Piso
105,105.0,24.0,41.0,105.0,105.0,8.0,0.0762,0.19510000000000002,"Marzo, 26",Piso
79,79.0,18.0,36.0,12.0,10.0,9.0,0.1139,0.2195,"Abril, 26",Piso
115,115.0,24.0,45.0,73.0,59.0,9.0,0.0783,0.2571,"Mayo, 26",Piso
85,84.0,22.0,42.0,28.0,25.0,11.0,0.1294,0.2973,"Junio, 26",Piso
36,36.0,7.0,16.0,11.0,8.0,2.0,0.0556,0.060599999999999994,"Julio,26",Piso
0,,,,,,0.0,0.0,0.0,"Febrero, 24",Plazas
0,,,,,,0.0,0.0,0.0,"Marzo, 24",Plazas
25,,,1.0,1.0,,0.0,0.0,0.0,"Abril, 24",Plazas
28,,,11.0,3.0,2.0,0.0,0.0,0.0,"Mayo, 24",Plazas
68,,,5.0,2.0,2.0,0.0,0.0,0.0,"Junio, 24",Plazas
294,,,6.0,30.0,8.0,2.0,0.0068000000000000005,0.09519999999999999,"Julio, 24",Plazas
248,,,17.0,50.0,18.0,3.0,0.0121,0.1765,"Agosto, 24",Plazas
52,,,8.0,13.0,4.0,0.0,0.0,0.0,"Septiembre, 24",Plazas
59,,,5.0,13.0,6.0,2.0,0.0339,0.087,"Octubre, 24",Plazas
